Type test,Num test item,Limit,File name,Total Value,Total Weight,Runtime,Is Optimal?
06UncorrelatedWithSimilarWeights,n01000,R10000,s099.kp,372106,49524383,0.00598,TRUE
,,,,,,,
06UncorrelatedWithSimilarWeights,n02000,R10000,s076.kp,749281,99049214,187.93406,FALSE
,,,,,,,
06UncorrelatedWithSimilarWeights,n05000,R01000,s020.kp,1876072,247621666,184.05947,FALSE
,,,,,,,
06UncorrelatedWithSimilarWeights,n10000,R10000,s023.kp,3730513,495245511,181.50968,FALSE
,,,,,,,
07SpannerUncorrelated,n00050,R01000,s092.kp,7548,7844,151.03372,TRUE
,,,,,,,
07SpannerUncorrelated,n00100,R10000,s080.kp,115620,204685,207.55391,FALSE
,,,,,,,
07SpannerUncorrelated,n00200,R10000,s071.kp,302188,257000,208.8739,FALSE
,,,,,,,
07SpannerUncorrelated,n00500,R10000,s005.kp,823788,1046270,207.49925,FALSE
,,,,,,,
07SpannerUncorrelated,n01000,R01000,s043.kp,110379,73597,198.1516,FALSE
,,,,,,,
07SpannerUncorrelated,n02000,R01000,s072.kp,320616,326095,188.16399,FALSE
,,,,,,,
07SpannerUncorrelated,n05000,R01000,s007.kp,355395,445521,182.46381,FALSE
,,,,,,,
07SpannerUncorrelated,n10000,R01000,s039.kp,773057,724280,181.13491,FALSE
,,,,,,,
08SpannerWeaklyCorrelated,n00050,R01000,s059.kp,17499,7808,3.1455,TRUE
,,,,,,,
08SpannerWeaklyCorrelated,n00100,R01000,s037.kp,36913,9354,211.91203,FALSE
,,,,,,,
08SpannerWeaklyCorrelated,n00200,R01000,s089.kp,64117,17799,206.79824,FALSE
,,,,,,,
08SpannerWeaklyCorrelated,n00500,R10000,s030.kp,1102110,506036,211.99752,FALSE
,,,,,,,
08SpannerWeaklyCorrelated,n01000,R01000,s010.kp,208472,123188,191.55469,FALSE
,,,,,,,
08SpannerWeaklyCorrelated,n02000,R10000,s009.kp,6387235,2065283,191.45831,FALSE
,,,,,,,
08SpannerWeaklyCorrelated,n05000,R01000,s056.kp,1350754,945080,182.88268,FALSE
,,,,,,,
08SpannerWeaklyCorrelated,n10000,R10000,s042.kp,12037076,8255634,184.11254,FALSE
,,,,,,,
09SpannerStronglyCorrelated,n00050,R10000,s062.kp,256792,72792,91.55692,TRUE
,,,,,,,
09SpannerStronglyCorrelated,n00100,R01000,s088.kp,43191,7591,199.70559,FALSE
,,,,,,,
09SpannerStronglyCorrelated,n00200,R10000,s043.kp,951464,175464,203.50458,FALSE
,,,,,,,
09SpannerStronglyCorrelated,n00500,R10000,s096.kp,2454278,748278,209.54101,FALSE
,,,,,,,
09SpannerStronglyCorrelated,n01000,R10000,s034.kp,4278376,1391376,194.40526,FALSE
,,,,,,,
09SpannerStronglyCorrelated,n02000,R01000,s071.kp,908679,228179,185.54979,FALSE
,,,,,,,
09SpannerStronglyCorrelated,n05000,R10000,s055.kp,26252582,6389582,183.18293,FALSE
,,,,,,,
09SpannerStronglyCorrelated,n10000,R01000,s004.kp,3932374,410574,182.212,FALSE
,,,,,,,
10MultipleStronglyCorrelated,n00050,R10000,s072.kp,201940,120940,0.001,TRUE
,,,,,,,
10MultipleStronglyCorrelated,n00100,R10000,s096.kp,399417,246417,0.002,TRUE
,,,,,,,
10MultipleStronglyCorrelated,n00200,R01000,s029.kp,80064,49764,0.01902,TRUE
,,,,,,,
10MultipleStronglyCorrelated,n00500,R01000,s095.kp,202090,123090,189.21731,FALSE
,,,,,,,
